Period,world_region,BU_start,BU_end,POP_start,POP_end,BU_change,POP_change
P1975-1990,CanUSA,86965.00806223106,115350.71772066999,241953958.9079859,279682422.594773,28385.709658438922,37728463.6867871
P1975-1990,China,47650.947699120006,88701.16920409622,938946923.2537479,1190964286.5244281,41050.221504976216,252017363.2706802
P1975-1990,Europe,95541.05296369713,122727.92854398838,580148591.2872174,623863816.3666418,27186.87558029125,43715225.07942438
P1975-1990,India,18410.650862169983,26945.007273356,800871680.6712085,1133679333.2562606,8534.356411186018,332807652.58505213
P1975-1990,LatinAmerica,27066.946873586963,35097.274915496004,330298283.49852693,444118561.3790338,8030.328041909041,113820277.88050687
P1975-1990,MEandNAF,12333.768292228995,18148.62449230197,168427413.99555862,247315442.0942003,5814.856200072974,78888028.0986417
P1975-1990,Oceania,6252.380983922007,7805.134727509994,17329486.27230669,21014153.63523531,1552.7537435879876,3684667.3629286177
P1975-1990,RusCA,27055.32342259798,35385.61872969995,184053448.46892256,213628838.38152385,8330.29530710197,29575389.912601292
P1975-1990,SEA,40094.59080061918,47886.58312343893,469181432.1919555,616954673.4510945,7791.992322819751,147773241.259139
P1975-1990,SSAfrica,13693.865312945978,20004.87252429895,349084271.01901686,520648849.6288883,6311.007211352971,171564578.60987145
P1990-2000,CanUSA,115350.71772066999,147731.00986292583,279682422.594773,315077441.8559569,32380.292142255843,35395019.26118392
P1990-2000,China,88701.16920409622,116000.13848796913,1190964286.5244281,1308227871.2386682,27298.96928387291,117263584.71424007
P1990-2000,Europe,122727.92854398838,143358.69805187522,623863816.3666418,639700462.8509474,20630.769507886842,15836646.48430562
P1990-2000,India,26945.007273356,36606.86358349599,1133679333.2562606,1386470080.213024,9661.856310139992,252790746.95676327
P1990-2000,LatinAmerica,35097.274915496004,46059.61345503516,444118561.3790338,523731745.3472194,10962.33853953916,79613183.9681856
P1990-2000,MEandNAF,18148.62449230197,23267.763926004045,247315442.0942003,317992188.7454146,5119.139433702076,70676746.6512143
P1990-2000,Oceania,7805.134727509994,8839.540899013995,21014153.63523531,23586867.295621727,1034.4061715040007,2572713.660386417
P1990-2000,RusCA,35385.61872969995,41543.60748103399,213628838.38152385,216884653.089797,6157.988751334044,3255814.7082731426
P1990-2000,SEA,47886.58312343893,59420.15031376416,616954673.4510945,711738529.4268937,11533.56719032523,94783855.9757992
P1990-2000,SSAfrica,20004.87252429895,26820.96035958985,520648849.6288883,680055456.9584255,6816.087835290902,159406607.3295372
P2000-2015,CanUSA,147731.00986292583,176117.31777546843,315077441.8559569,356494160.4219274,28386.3079125426,41416718.56597048
P2000-2015,China,116000.13848796913,155120.14366498275,1308227871.2386682,1407350496.4523091,39120.00517701362,99122625.21364093
P2000-2015,Europe,143358.69805187522,162789.84070374703,639700462.8509474,668384666.9023764,19431.142651871807,28684204.051429033
P2000-2015,India,36606.86358349599,48279.18352865194,1386470080.213024,1740318812.0237706,11672.319945155949,353848731.81074667
P2000-2015,LatinAmerica,46059.61345503516,54044.95522740988,523731745.3472194,630399850.3825864,7985.341772374719,106668105.03536695
P2000-2015,MEandNAF,23267.763926004045,27536.835294142045,317992188.7454146,421037117.8572682,4269.071368138,103044929.1118536
P2000-2015,Oceania,8839.540899013995,9905.791900799988,23586867.295621727,29200981.15032116,1066.2510017859931,5614113.854699433
P2000-2015,RusCA,41543.60748103399,48264.244586619985,216884653.089797,226955294.72596478,6720.637105585993,10070641.636167794
P2000-2015,SEA,59420.15031376416,68069.04972905708,711738529.4268937,829439394.7696893,8648.899415292915,117700865.34279561
P2000-2015,SSAfrica,26820.96035958985,32379.809870532932,680055456.9584255,999076223.704615,5558.8495109430805,319020766.7461895
